date,open,high,low,close,volume,num_trades,vwap_hlc3,usd_volume
2026-03-12,91.741,96.929,89.112,95.426,13467094.395,287101,93.8223,1263514219.36
2026-03-13,95.456,98.43,91.0,95.765,7701958.949,208764,95.0650,732186727.49
2026-03-14,95.776,103.28,95.5,99.89,2719693.521,184567,99.5567,270763621.31
2026-03-15,99.802,101.96,96.5,96.893,3811251.766,183350,98.4510,375221547.61
2026-03-16,96.894,99.29,91.782,93.804,7124889.846,196826,94.9587,676570039.92
2026-03-17,93.781,97.542,93.149,95.27,4323065.722,128312,95.3203,412076065.64
2026-03-18,95.27,99.686,91.418,98.268,8867283.015,204167,96.4573,855314473.54
2026-03-19,98.243,100.41,92.152,93.933,10168790.344,259196,95.4983,971102529.87
2026-03-20,93.93,98.75,92.538,96.339,4466488.84,159999,95.8757,428227595.19
2026-03-21,96.339,98.21,94.622,98.141,735144.423,83005,96.9910,71302392.73
2026-03-22,98.197,101.52,96.383,98.535,2112183.819,156496,98.8127,208710515.65
2026-03-23,98.55,101.62,82.5,89.45,13480978.903,302716,91.1900,1229330466.16
2026-03-24,89.438,93.352,86.342,88.833,8636233.12,192324,89.5090,773020590.34
2026-03-25,88.811,91.469,86.487,90.973,6129680.864,186601,89.6430,549482981.69
2026-03-26,91.002,95.381,89.637,93.208,4715364.561,152919,92.7420,437312340.12
2026-03-27,93.218,101.52,92.083,100.82,4102964.548,133379,98.1410,402669043.71
2026-03-28,100.84,100.9,97.989,100.76,1139377.389,97442,99.8830,113804431.75
2026-03-29,100.79,103.76,99.909,102.63,1783213.977,106482,102.0997,182065552.65
2026-03-30,102.63,106.63,99.35,105.93,5235710.768,209453,103.9700,544356848.55
2026-03-31,105.96,106.27,99.53,101.37,7955309.227,247156,102.3900,814544111.75
2026-04-01,101.38,103.19,96.386,98.825,8431588.74,216720,99.4670,838664837.20
2026-04-02,98.77,113.5,97.47,111.25,11257130.661,313597,107.4067,1209090880.53
2026-04-03,111.31,113.35,110.52,111.66,1256568.008,111889,111.8433,140538754.57
2026-04-04,111.65,112.2,110.91,112.12,569102.541,81142,111.7433,63593414.94
