security,date,vwap,close,volume,fut_val_pt,fut_contract_size,contract_value,price_basis,usd_notional_traded
CL1 Comdty,2026-01-12,59.1019,59.5,309700.0,1000.0,1000.0,75350.00000000001,vwap,18303858430.0
CL1 Comdty,2026-01-13,60.8245,61.15,411190.0,1000.0,1000.0,75350.00000000001,vwap,25010426155.0
CL1 Comdty,2026-01-14,61.2938,62.02,410261.0,1000.0,1000.0,75350.00000000001,vwap,25146455681.8
CL1 Comdty,2026-01-15,59.567,59.19,113642.0,1000.0,1000.0,75350.00000000001,vwap,6769313014.0
CL1 Comdty,2026-01-16,59.6549,59.44,113794.0,1000.0,1000.0,75350.00000000001,vwap,6788369690.599999
CL1 Comdty,2026-01-19,59.1801,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2026-01-20,60.3289,60.34,31293.0,1000.0,1000.0,75350.00000000001,vwap,1887872267.7
CL1 Comdty,2026-01-21,60.2342,60.62,333062.0,1000.0,1000.0,75350.00000000001,vwap,20061723120.4
CL1 Comdty,2026-01-22,59.7015,59.36,324349.0,1000.0,1000.0,75350.00000000001,vwap,19364121823.5
CL1 Comdty,2026-01-23,60.7415,61.07,283419.0,1000.0,1000.0,75350.00000000001,vwap,17215295188.500004
CL1 Comdty,2026-01-26,60.8628,60.63,281062.0,1000.0,1000.0,75350.00000000001,vwap,17106220293.6
CL1 Comdty,2026-01-27,61.4972,62.39,360208.0,1000.0,1000.0,75350.00000000001,vwap,22151783417.6
CL1 Comdty,2026-01-28,62.8833,63.21,354864.0,1000.0,1000.0,75350.00000000001,vwap,22315019371.2
CL1 Comdty,2026-01-29,65.2153,65.42,560007.0,1000.0,1000.0,75350.00000000001,vwap,36521024507.1
CL1 Comdty,2026-01-30,65.0442,65.21,449325.0,1000.0,1000.0,75350.00000000001,vwap,29225985165.000004
CL1 Comdty,2026-02-02,62.2063,62.14,414083.0,1000.0,1000.0,75350.00000000001,vwap,25758571322.9
CL1 Comdty,2026-02-03,62.7528,63.21,381144.0,1000.0,1000.0,75350.00000000001,vwap,23917853203.2
CL1 Comdty,2026-02-04,64.1473,65.14,446588.0,1000.0,1000.0,75350.00000000001,vwap,28647414412.4
CL1 Comdty,2026-02-05,63.5738,63.29,389763.0,1000.0,1000.0,75350.00000000001,vwap,24778715009.399998
CL1 Comdty,2026-02-06,63.5581,63.55,448924.0,1000.0,1000.0,75350.00000000001,vwap,28532756484.4
